Gard ID,identifiers,Number of Matches,QID,Match Gard ID
1454,,0,,
4647,OMIM:604335 | ORPHANET:83452,2,Q18554916 | Q1066311 | ,
10910,ORPHANET:57196,1,Q55788408 | ,False
13322,,0,,
1460,OMIM:221300 | UMLS:C1857341 | ORPHANET:3216,1,Q55781803 | ,False
11897,ORPHANET:1871,0,,
10119,OMIM:304030 | UMLS:C1844775,1,Q55999549 | ,True
10790,ORPHANET:1872,1,Q18553315 | ,True
10651,OMIM:600624 | UMLS:C1833564,1,Q32145995 | ,True
6145,OMIM:120970 | UMLS:C0035334,2,Q847057 | Q32145936 | ,
10653,OMIM:604116 | UMLS:C1858806,1,Q32146055 | ,True
10655,OMIM:600977 | UMLS:C1832976,1,Q32146011 | ,True
10656,OMIM:601777 | UMLS:C1866293,1,Q32146026 | ,True
1463,OMIM:217080 | ORPHANET:1873,1,Q6126829 | ,True
10652,OMIM:304020,1,Q32145981 | ,True
1462,OMIM:300085 | UMLS:C1848139,1,Q32145951 | ,True
10654,OMIM:300476 | UMLS:C1845407,1,Q32145967 | ,True
9972,UMLS:C2931075,0,,
1467,ORPHANET:418 | OMIM:201910 | OMIM:202110 | OMIM:202010 | OMIM:201810 | OMIM:201710,6,Q366868 | Q4127185 | Q4127184 | Q4127186 | Q4262866 | Q4127183 | ,
12664,ORPHANET:95699 | OMIM:613571,1,Q16740582 | ,True
640,OMIM:604498 | ORPHANET:3319 | UMLS:C1327915,1,Q5160405 | ,True
1471,UMLS:C1857583,0,,
13056,ORPHANET:86816 | OMIM:616000,1,Q4751018 | ,True
1472,,0,,
9486,OMIM:107200 | ORPHANET:88620 | UMLS:C0393778,1,Q18928521 | ,True
6149,UMLS:C0702159,1,Q5160440 | ,False
6150,UMLS:C0332965,1,Q707837 | ,False
1473,UMLS:C0595987,0,,
1474,,0,,
5461,OMIM:277180 | ORPHANET:48 | UMLS:C0403814,1,Q53923559 | ,True
9813,OMIM:607765 | UMLS:C1843116 | ORPHANET:79301,1,Q42863605 | ,False
10045,OMIM:235555 | ORPHANET:79303 | UMLS:C1856127,1,Q42863601 | ,False
1475,,0,,
6154,UMLS:C0596366,0,,
8535,OMIM:209880 | ORPHANET:661,1,Q979129 | ,True
10001,OMIM:214700 | ORPHANET:53689,2,Q5160413 | Q28065579 | ,
5899,OMIM:121050 | ORPHANET:115 | UMLS:C0220668,2,Q18553375 | Q3508618 | ,
1477,UMLS:C0332878,0,,
1478,,0,,
10617,,0,,
1479,,0,,
1480,ORPHANET:294 | UMLS:C0158945,1,Q5160416 | , has more than one gard id
1705,OMIM:221350 | ORPHANET:3239,1,Q55781806 | ,True
1481,OMIM:142340 | ORPHANET:2140,1,Q2163245 | ,True
9692,UMLS:C0345360,1,Q55787079 | ,True
9840,OMIM:212067 | UMLS:C0349655,1,Q55781710 | ,True
12782,,0,,
10307,ORPHANET:137,1,Q1125675 | ,True
1999,ORPHANET:85,1,Q5160422 | ,True
2000,OMIM:224120 | ORPHANET:98869 | UMLS:C0271933 | OMIM:615631,2,Q56014413 | Q5160422 | ,
2001,OMIM:224100 | UMLS:C1306589 | ORPHANET:98873,1,Q5160422 | ,False
2002,ORPHANET:98870 | OMIM:105600 | UMLS:C0271934,1,Q5160422 | ,False
9723,OMIM:224800 | UMLS:C2931012,1,Q55781844 | ,True
4446,OMIM:263700 | ORPHANET:79277,1,Q1759389 | ,True
10908,,0,,
1503,ORPHANET:1987 | UMLS:C0345375,1,Q55785887 | ,False
6161,OMIM:255310 | ORPHANET:2020 | UMLS:C0546264,1,Q1956696 | ,False
12590,ORPHANET:45358,0,,
6163,UMLS:C0432284,0,,
13388,ORPHANET:528,1,Q6556681 | ,False
84,OMIM:608594 | UMLS:C1720862,2,Q32147669 | Q3242224 | ,
10212,OMIM:269700,1,Q32147684 | ,True
13389,OMIM:612526,1,Q32147698 | ,True
10937,OMIM:613327 | ORPHANET:228429,1,Q32147713 | ,True
219,,0,,
6164,OMIM:234700 | ORPHANET:60041 | UMLS:C0149530,1,Q18558252 | ,True
1483,,0,,
1484,,0,,
6167,UMLS:C0002881,1,Q5160435 | ,True
6168,,0,,
1486,UMLS:C0276225,1,Q3134326 | ,True
10328,OMIM:609423,1,Q12199 | ,False
6682,ORPHANET:2185,2,Q55345956 | Q193003 | ,
3947,ORPHANET:657,1,Q5160437 | ,False
6170,OMIM:605253 | ORPHANET:99951,1,Q27677657 | ,True
